BCM4987s001r_VAxg_01	BCM4987s002r_VAxg_01	BCM4987s003r_VAxg_01	BCM4987s004r_VAxg_01	BCM4987s005r_VAxg_01	BCM4987s006r_VAxg_01	BCM4987s007r_VAxg_01	BCM4987s008r_VAxg_01	BCM4987s009r_VAxg_01	BCM4987s010r_VAxg_01	BCM4987s011r_VAxg_01	BCM4987s012r_VAxg_01
MRE11	1331	1294	690	882	899	640	964	564	1114	833	788	778
PLEKHB1	308	298	168	125	173	164	233	109	203	191	171	126
SERPINB1	3227	3467	2189	1974	2338	1966	2548	1576	3481	2320	3129	2461
CYP3A43	0	3	1	0	2	0	0	2	0	0	0	2
SLC7A9	7	18	12	4	13	7	18	5	5	4	2	5
SPAST	977	1020	644	738	791	761	913	564	1081	811	867	755
NRXN3	24	29	8	2	58	27	48	26	10	45	4	20
OSBPL5	735	786	523	489	411	456	513	228	425	531	383	266
AQR	2922	3006	2109	2204	2218	2108	2436	1474	3046	2369	2428	2061
CPS1	252213	241700	155559	186823	165402	172977	208015	110856	244443	197270	184669	135135
C8B	4	4	4	3	4	5	1	6	3	2	1	0
FHL1	9	16	5	4	8	6	11	9	13	9	6	17
RTFDC1	1979	2226	1551	1445	1298	1454	1666	946	1894	1419	1486	1254
GABRA1	0	0	0	0	0	0	0	0	0	1	0	0
NLRP2	1	1	1	1	1	4	1	3	0	0	3	0
SLC45A4	887	771	676	462	685	753	630	445	901	562	751	492
RNF10	4926	4930	3353	2948	3623	3427	4132	2223	4803	3627	3496	2545
ZNF839	1252	1153	715	829	804	687	861	543	924	718	827	597
ZDHHC6	512	524	280	344	452	298	434	302	594	459	532	446
GRAMD1B	2283	2023	1792	1495	1897	3604	1549	1429	2659	1507	3645	1404
RNH1	3375	3454	2101	1923	2150	1940	2385	1564	3177	2370	2326	2142
NDUFS1	3828	3705	2308	2425	2840	2417	3364	2116	4072	2959	3084	2619
RB1CC1	2595	2712	1987	1723	1780	2075	2292	1049	2286	1806	1781	1400
ERP44	1472	1771	1208	1073	1247	1427	1757	900	1913	1418	1464	1125
ALAS1	1195	1172	790	712	947	719	976	737	1324	957	1026	794
BIRC3	113	95	75	47	156	147	148	87	158	70	98	100
AKAP11	3973	4124	3254	2676	2807	2914	3551	1756	3788	2627	2884	2638
GLRX2	44	45	40	32	36	24	26	22	62	40	39	46
SNAPC1	454	488	442	336	333	435	340	167	534	363	354	336
DERA	896	985	609	588	556	495	750	470	790	662	748	636
STRAP	2897	2947	1878	1958	2125	1692	2491	1501	3121	2296	2606	2020
ABCC2	49	44	26	17	25	14	35	18	48	38	36	38
DEF6	465	456	300	269	242	214	279	149	339	247	260	208
PLEKHO1	224	246	87	111	90	70	104	95	237	97	132	111
GCLM	35	38	10	20	26	21	27	14	29	26	32	22
UBR2	3094	2948	2109	1993	2098	2052	2533	1372	2968	2327	2188	1957
EHD2	681	620	643	410	285	366	383	118	600	397	303	269
DEPDC1	164	200	87	128	145	61	186	123	213	126	167	123
CCDC28A	612	736	477	426	332	423	523	204	494	412	269	264
RRAGD	317	350	247	164	258	275	284	162	371	365	241	231
HSF2	663	702	468	367	424	349	493	282	583	439	467	401
PHF20	2755	2800	1822	1573	1777	1664	2000	1089	2575	1878	1708	1542
HSD17B6	29	28	17	8	25	18	28	20	20	19	23	13
NR1H3	442	434	253	276	325	209	275	200	334	321	255	222
TYMP	196	184	222	148	294	349	256	262	635	230	418	440
NCAPH2	905	857	456	495	602	442	673	469	863	544	630	546
TOMM34	2068	2065	1111	1354	1365	1087	1538	1064	2018	1553	1538	1260
SEC63	2723	2894	1711	1786	2114	1807	2399	1417	2793	2253	2201	1871
KPNA6	1050	1004	747	731	756	698	869	570	1151	753	797	619
VIM	2153	2939	1702	1230	1042	725	1307	663	1508	548	899	975
RTEL1-TNFRSF6B	322	264	213	216	291	185	189	136	250	208	239	152
FAS	68	41	15	33	36	26	32	32	46	44	54	43
RNASET2	1990	1993	1466	1321	1333	1688	2547	959	1774	1713	1327	1177
CD44	15456	13909	13672	8676	10877	12077	12371	6607	11682	11574	9709	7431
KCNG1	7	7	3	5	0	4	2	3	2	2	2	0
AGPAT4	252	261	230	95	154	201	182	106	156	157	144	110
SLAMF7	0	0	0	0	0	0	0	0	0	0	0	0
BTN3A1	613	554	445	363	406	424	509	275	552	430	328	291
MIPEP	847	871	477	550	534	396	683	364	717	583	550	561
PRKCH	1096	1057	663	631	789	722	817	588	1177	837	1040	751
INSRR	8	7	8	7	2	3	7	4	3	14	5	1
IFNGR1	1489	1761	1268	1030	1156	1193	1493	937	1924	1194	1533	1324
B4GALT7	272	279	175	179	187	169	212	152	240	173	211	159
SH2D2A	422	466	276	282	280	226	259	187	341	270	267	169
VRK2	968	1029	668	610	662	719	736	638	1302	636	1259	932
TNFRSF1B	46	37	28	22	61	35	47	45	89	22	46	41
VEZT	1950	2127	1469	1254	1326	1190	1662	967	1928	1348	1317	1214
POU2F2	17	23	12	10	7	15	8	2	5	4	5	3
BRD9	2316	2155	1781	1415	1377	1188	1456	1064	2080	1339	1602	1342
SNX1	2953	2926	1919	1984	1786	2093	2373	1340	2698	2328	2065	1440
TBPL1	207	229	179	191	185	145	223	124	256	217	191	205
ARNTL2	472	413	185	298	400	290	403	368	659	338	500	515
BCLAF1	5408	5406	3609	3383	3571	2890	4103	2582	5274	3819	3839	3394
SLC39A9	2971	3311	2670	2047	2082	2278	2718	1497	3109	2426	2259	1613
ANK1	495	531	254	387	207	165	265	107	246	154	211	134
IBSP	30	27	11	14	11	10	13	7	20	12	4	11
TFB1M	471	592	321	344	382	332	434	275	503	343	421	423
RABEP1	1339	1268	747	851	1166	852	1041	754	1653	1212	1308	1068
HMGB3	7	3	10	5	5	4	6	10	15	3	5	4
NUP160	4774	4851	3148	3215	3601	2774	3810	2571	5361	3610	3768	3472
BAK1	306	314	181	169	243	237	284	191	301	279	267	188
MUSK	1	3	0	0	2	2	0	2	0	2	0	0
IKZF2	694	659	329	425	447	387	427	233	491	419	396	290
GRN	14398	15571	10424	8196	8450	12651	12168	5389	11339	9901	9067	6333
FAM13B	870	849	582	561	701	566	687	395	900	783	665	541
ARHGAP31	391	369	199	219	260	174	271	222	281	139	277	172
CENPQ	181	155	75	83	137	76	131	85	158	111	129	118
SARS	753	884	498	463	453	457	579	316	667	542	522	439
RANBP3	2077	2117	1266	1234	1447	1308	1589	1087	2005	1493	1523	1246
ARID4A	2254	2375	1497	1512	1398	1359	1669	811	1993	1549	1368	1226
TSSC1	2340	2195	1417	1506	1621	1407	1850	1140	2318	1720	1878	1350
PNPLA6	2564	2622	1909	1564	1826	1876	2087	1218	2264	1591	1801	1269
IFT88	727	748	553	606	486	553	633	304	685	639	514	482
ALG1	419	398	201	261	247	186	282	213	355	277	278	245
ZCCHC8	1252	1201	741	784	807	728	859	557	1257	851	908	745
ABCF2	4200	4240	2519	2708	3158	2613	3307	2682	4876	3218	3926	2929
CHPF2	3725	3996	3325	2385	2426	3084	2940	1749	3409	2447	2737	1907
LRRC7	0	0	0	0	0	0	0	0	1	0	0	0
FUT8	704	664	280	480	485	435	454	400	805	443	628	538
UBA6	1706	1715	1314	1195	1308	1460	1645	1017	2227	1372	1706	1365
GAB2	508	521	561	306	425	716	471	173	424	616	395	202
ATP6V0A1	1607	1706	1261	1112	1329	1300	1348	860	1874	1241	1465	1088
PIAS1	1323	1267	877	858	827	807	989	537	1171	922	922	715
SLC4A7	1274	1273	801	708	1106	709	1081	745	1481	877	1239	1102
APBA2	1038	1054	618	638	673	463	670	498	1017	619	751	568
MAP2K3	1439	1529	1331	942	1260	1135	1386	942	2085	1227	1348	1018
EFCAB1	0	0	0	0	0	0	0	0	0	0	0	0
TMSB10	4683	6246	3985	3502	3148	3259	3807	2271	5558	3024	3592	3713
ASTE1	193	190	108	120	106	107	146	89	159	145	137	113
RNF19A	1808	1768	1400	1351	1843	3063	1808	1040	2201	2189	2134	1113
PEX3	635	661	312	414	465	405	525	365	657	498	576	507
GABARAPL2	415	487	297	274	312	315	353	168	428	330	308	239
MYOC	0	1	0	1	0	0	0	0	0	1	0	0
SH3YL1	3078	3418	2415	2091	2058	2272	2666	1142	2582	2465	1844	1708
FAM136A	611	653	400	357	394	373	455	303	589	369	460	389
VCL	3845	3264	2129	2082	2632	2536	2767	2105	3483	2616	3077	2240
DEPDC1B	866	843	287	577	620	247	734	502	961	522	695	622
DAPK2	62	65	36	19	90	36	58	40	27	45	22	33
NSMAF	2363	2433	1483	1500	1518	1348	1915	1147	2378	1750	1797	1356
ADSS	1945	1857	1303	1227	1116	1204	1450	790	1725	1340	1257	1156
STAP1	3	0	0	0	0	0	1	0	1	0	2	0
TIMP2	3953	3807	3690	2630	2618	5006	3452	1877	3405	2510	3094	1497
RFC1	3338	3333	2090	2224	1859	1904	2485	1388	2957	2221	2280	1728
TBC1D23	594	642	510	445	468	539	553	292	684	463	461	340
CUL3	2984	2924	1867	2045	2436	2035	2494	1729	3197	2515	2635	2148
MYOM2	5	8	3	3	2	0	3	1	3	3	1	0
OTC	0	0	0	0	0	0	0	0	0	0	0	0
CYP46A1	45	55	24	24	32	26	32	13	28	25	18	8
ZZZ3	627	731	440	413	428	386	503	303	601	483	457	320
SLC18A1	0	0	0	0	3	1	0	1	0	1	0	0
USP2	33	28	10	6	12	18	22	14	11	28	11	11
CASR	4	8	1	0	3	0	2	0	1	14	0	0
TUBG2	1526	1443	1011	825	1008	1055	1076	762	1294	1062	1095	760
RPL26L1	8	10	1	6	1	10	5	0	2	3	2	3
FLT4	1	3	0	0	1	1	0	1	2	0	0	0
NSUN2	4631	4579	3293	3101	2820	2894	3672	2528	5070	3355	3786	3218
FBXO42	686	777	498	433	513	465	584	361	810	576	615	496
MFAP3	419	419	320	291	300	349	355	228	509	365	374	281
MRI1	974	990	540	545	518	511	638	393	769	629	609	412
METTL1	474	432	295	280	255	248	309	235	399	308	283	263
HOXC8	82	63	44	48	64	49	65	33	89	51	52	52
AGA	3237	3673	2302	2459	2359	2492	3496	1649	3686	3041	2615	2218
PI4K2B	151	174	79	84	86	67	119	82	153	95	129	107
BOD1L1	14807	14740	10989	9024	7463	9119	10189	4826	11532	8769	8042	6092
MAT2B	1168	1176	753	741	634	668	873	460	1034	682	641	581
TLL1	38	58	20	18	29	35	88	35	32	14	25	24
EDC4	4088	3897	2869	2460	2689	2375	3034	1875	3917	2681	2743	2082
TRIO	11264	11035	7044	6275	6050	5380	7560	4932	9811	5846	6914	5467
VCAN	16108	15044	13721	14680	11186	10730	15988	11060	21085	5028	13541	10150
CLEC16A	1668	1609	1191	1042	1381	1296	1387	932	1711	1167	1446	1013
MSR1	1	0	0	0	0	0	0	0	0	0	0	0
CDH1	38488	38748	31050	27120	23222	31196	30162	17210	36911	24104	29572	20196
SKIV2L2	3662	3797	2168	2605	2711	2263	3207	1854	3822	2678	2905	2707
DNAH5	925	1246	587	439	462	198	710	239	582	466	324	407
ZFYVE16	1014	1003	657	701	887	781	891	595	1196	897	960	796
FAM65A	2582	2424	1822	1441	1956	1966	2106	1258	2470	1734	2084	1173
C6	0	0	0	0	0	1	0	0	0	1	0	0
RAI14	4793	5063	4070	2687	4537	2970	4961	2495	5170	2618	3441	3193
SOX30	166	182	99	110	110	85	125	90	155	99	101	79
PNKP	1012	996	706	661	715	555	794	470	866	608	664	564
BEST2	6	4	0	0	3	1	1	0	2	0	3	1
PHLPP2	723	799	396	421	673	334	535	452	793	602	700	586
SPDL1	617	563	246	387	367	216	421	306	562	375	461	428
STAU2	1073	1015	651	719	807	787	941	458	904	780	749	675
PQLC2	234	204	129	126	154	143	122	129	267	121	196	142
CTNS	606	609	469	406	521	515	539	393	752	527	598	424
RTN4R	114	111	75	87	62	60	66	51	73	56	72	57
PHF23	782	810	702	452	451	550	550	325	719	582	567	426
CDH10	163	148	66	66	36	51	94	44	93	39	73	63
INPP4A	1274	1236	823	754	947	894	1042	753	1452	891	1096	789
RAB27B	191	172	94	122	146	110	146	116	247	148	222	158
PSMA4	1143	1241	700	803	869	679	1008	667	1393	935	1166	1046
MYO16	573	592	363	365	352	298	552	228	462	375	334	284
LSG1	2848	2740	2005	1820	2089	1626	2204	1416	2929	1923	2068	1820
PARP3	573	686	416	341	384	322	472	260	513	401	364	301
TNC	6042	5137	1071	3441	3409	1005	2288	4290	8912	4306	5436	5992
THAP3	170	149	97	90	105	91	84	69	142	85	83	85
FAM65C	214	199	112	99	169	141	157	118	163	154	138	91
TDP1	837	816	424	465	574	427	605	371	785	550	582	493
AIFM2	402	384	332	256	239	312	310	204	399	335	330	275
C2orf83	0	0	1	0	0	0	0	0	0	0	0	0
SPATA7	411	413	250	239	218	256	303	150	312	222	211	225
MED17	129	122	125	87	101	81	76	62	139	90	87	94
RETSAT	843	893	675	509	519	608	711	322	704	538	460	385
CAPG	2519	2519	1375	1505	1140	1270	1654	885	1938	1382	1311	1252
AP2S1	1640	1640	976	999	1007	959	1295	760	1500	1142	1149	930
USH2A	44	63	16	36	25	32	47	21	25	36	35	13
ZPBP	1	2	0	0	0	0	1	0	0	1	0	0
TG	11	10	8	4	12	7	8	1	8	7	8	4
ADAM28	5209	5727	4703	2797	4294	4224	5116	2354	4614	3994	3580	2671
BARX2	722	695	492	396	402	415	351	226	553	523	324	367
DCUN1D1	434	408	239	275	261	305	330	218	436	296	364	252
JADE2	1612	1711	808	898	874	717	977	761	1429	969	1021	870
ZIC2	0	0	1	0	0	0	0	0	0	0	0	0
LCP2	4	3	1	4	5	5	9	3	3	5	7	4
TRIT1	707	669	414	410	340	346	448	239	562	449	395	351
ADRB1	7	12	3	4	26	6	8	6	3	5	7	6
GUCA2B	2	0	1	1	1	1	6	0	3	4	1	0
CUL7	8233	8990	6590	5070	4540	5644	6415	2769	6097	5334	4272	3244
CTNNA1	15416	15680	11151	9137	8363	8995	11185	6335	14368	10145	9814	8079
PHKA2	7125	6994	4679	4466	4202	4263	5124	2743	5746	5089	4096	3033
CNTLN	607	570	302	376	433	329	466	241	527	432	404	353
EPHA3	1073	1196	536	936	486	392	547	481	993	649	689	632
HSPA5	19528	22454	17752	13234	12622	14835	18897	9348	22728	15096	14125	12645
DSG2	7500	6869	4417	4413	4570	6322	5592	3571	8197	5406	7060	4671
GEMIN8	611	646	487	435	417	439	492	286	541	438	368	329
OFD1	3977	4049	3061	2631	2718	2924	3166	1507	3597	2967	2497	2282
GPM6B	122	161	65	81	123	78	117	50	94	132	90	68
MAGEC2	2	2	2	3	0	0	5	0	1	0	0	1
PREX2	0	6	2	0	7	4	27	2	2	0	2	1
WDR37	608	617	452	402	401	389	456	258	547	469	388	316
YTHDC2	1454	1393	871	934	1071	883	1157	747	1558	1165	1222	1087
CTPS2	2903	2967	1628	1925	1876	1544	2234	1296	2740	1840	2096	1681
ATP6V1H	1698	1604	1247	1161	1247	1304	1497	970	1877	1279	1544	1264
POLR2B	3798	3658	2442	2508	2368	2187	3041	1968	3748	2960	3101	2594
FAM214A	850	969	611	530	581	563	606	248	598	611	411	354
ARAP2	1579	1788	1268	1016	1419	1630	1805	1040	2264	1506	1782	1454
TPR	8997	8334	5394	5427	5674	5611	6869	3920	8103	5944	5963	5124
CP	1876	3359	2840	1287	3225	3372	10644	1454	1889	2572	1097	1063
KIAA0556	1954	1762	1229	1148	1221	1263	1359	776	1555	1094	1143	756
DTNBP1	420	503	250	228	270	222	303	179	381	296	267	255
XK	294	310	150	249	193	183	205	186	242	193	266	198
ANO2	1	0	0	0	0	0	0	0	0	2	0	1
C12orf4	452	417	203	305	364	285	332	253	531	338	425	325
SCML1	687	586	391	372	418	396	470	334	664	403	556	443
WWC3	4190	3883	2642	2737	3501	2882	3537	2197	4361	2949	3631	2544
ARHGAP6	574	666	375	264	1158	384	915	481	664	594	532	493
FAM184B	100	81	59	47	57	43	55	32	67	39	49	45
MAP4	5331	5240	3517	3380	3268	3597	4384	2375	4518	4618	3680	2529
GOPC	1122	1170	697	721	747	618	851	558	1406	741	899	806
ROS1	3334	5152	2625	1874	6412	5827	8841	4658	10305	2594	5483	5446
USP28	1532	1311	853	1036	1119	939	1287	762	1637	1104	1167	1009
HDAC9	28	27	15	18	12	24	13	8	12	7	16	8
TSPAN17	174	173	98	104	127	116	118	87	149	110	153	99
NOP16	914	937	585	548	620	446	669	482	1042	790	706	724
CC2D2A	2089	2193	1115	1314	1106	910	1368	805	1363	1355	1093	861
RRM2B	299	339	241	174	194	257	253	150	307	243	271	182
ZNF800	617	602	510	464	466	414	512	344	632	516	493	486
TNFRSF17	0	0	0	0	0	1	0	0	0	0	0	0
SNX29	1289	1200	1189	752	1165	1279	1021	578	1382	1453	1041	744
LMO3	51	43	25	31	35	20	37	29	37	34	25	17
MRPS10	441	478	302	308	399	341	428	295	551	404	444	372
GUCA1A	0	0	1	1	0	0	0	0	0	0	0	0
RSF1	2263	2250	1430	1319	1357	1279	1676	802	1904	1521	1203	1135
VPS13D	6157	6131	3819	3759	4716	4269	5202	3146	6198	4494	4893	3763
CELF2	3	2	1	2	0	0	0	1	1	0	1	0
FAM120A	10298	9789	5899	6400	7364	5722	8076	4601	9766	7250	7156	5571
R3HDM1	1894	1838	1084	1295	1311	1003	1395	924	1853	1362	1508	1005
COL9A2	20	23	9	7	20	17	39	16	19	14	14	17
KITLG	31	16	12	14	43	35	31	24	56	31	74	43
ERCC8	434	522	252	308	355	271	393	251	438	319	400	319
ADAMTS6	715	780	405	536	470	310	552	272	450	386	358	298
H6PD	2645	2671	2171	1597	1234	1789	1921	1025	1937	1530	1492	992
VAMP3	325	355	239	224	196	216	258	173	307	228	273	210
PER3	399	356	245	196	201	271	262	173	241	247	242	142
UTS2	0	1	0	0	0	0	0	1	1	2	1	0
TNFRSF9	8	3	12	6	13	27	27	14	14	12	17	18
EPN3	1164	1078	473	597	813	645	703	607	885	837	830	496
LTBP1	5356	5297	2796	3465	2166	2520	2960	1678	3436	3047	2732	2169
RCN1	3163	3305	2050	2079	2024	2035	2822	1566	2933	2284	2163	1666
ELN	95	120	50	69	41	25	66	28	32	50	31	29
RFC2	820	785	402	594	562	402	647	378	808	701	626	532
ARID1B	11400	10508	7164	6583	6592	6624	8004	4437	8803	7012	6402	4465
CLPTM1L	4044	4046	2468	2544	2591	2416	3190	2214	4146	2779	3442	2619
NEDD4L	854	819	594	541	623	750	928	469	959	594	754	461
FOXP3	31	24	18	21	33	15	11	22	37	19	23	31
PPP1R3F	261	235	144	142	284	171	211	151	322	171	247	189
HEXB	2049	2527	1390	1588	1483	1789	2195	1161	2374	1836	1729	1552
PTCD2	194	221	132	143	151	124	162	118	208	171	158	130
KIAA2022	15	28	17	13	20	8	22	13	32	18	26	16
JKAMP	921	966	675	596	666	768	850	513	969	729	853	645
DKK3	84	105	57	50	29	37	45	32	67	67	38	38
ARHGEF5	5398	5314	4324	3195	3111	3136	3932	2208	4372	3013	3222	2256
NFE2L3	908	796	450	498	642	376	742	456	917	492	681	612
MCUR1	395	437	241	246	314	277	337	240	412	329	407	262
LIMA1	823	886	467	492	520	498	615	351	696	676	522	431
LETMD1	663	784	528	451	416	466	513	224	465	545	375	242
SLC4A8	71	66	23	20	68	31	54	38	32	45	27	26
LAMC3	3	5	0	3	1	2	5	2	7	2	1	3
PTGER3	3	7	2	3	1	0	0	0	4	1	0	2
TNIP3	1	2	0	0	0	0	1	0	0	0	0	1
MAPK9	493	518	324	302	347	266	394	304	516	382	441	373
COL23A1	1	0	0	2	0	0	0	0	0	0	1	0
BCAR1	3249	3315	2374	1851	2376	2102	2439	1792	3221	2081	2559	2121
FAM160A2	2434	2634	1966	1597	1487	1444	1740	969	2152	1518	1412	1122
HERPUD1	402	411	382	217	235	342	363	131	315	338	227	161
HOMER3	135	206	132	99	66	137	78	66	142	80	104	64
RAD51	538	461	161	324	437	155	369	337	492	352	505	410
POLQ	1357	1079	405	804	1057	458	970	859	1507	862	1215	1170
PIK3CB	2623	2694	1652	1758	1952	1367	2274	1308	2571	1960	1953	1784
CYBA	1927	1779	892	1082	1754	1083	1802	1393	2006	1228	1575	1746
THOC3	1301	1270	706	768	785	640	1054	582	1212	897	806	787
HEBP2	1244	1263	722	787	846	824	935	567	1144	940	879	814
MPHOSPH9	2480	2347	1148	1490	1903	1072	1986	1373	2545	1797	2094	1612
PLEKHA5	3326	3706	2167	2307	2322	1810	2538	1574	3566	2213	2820	2113
PRSS8	1813	1658	1194	1025	869	1373	1153	728	1307	1103	1033	716
SIKE1	160	172	118	87	100	111	119	58	154	114	96	96
RRP12	4773	4715	3550	2950	3024	2461	3226	2013	4211	3120	2872	2519
FNIP2	1315	1326	722	700	1106	629	1197	744	1284	911	1076	925
MSMO1	683	767	444	585	405	399	465	268	550	383	447	371
TTC17	8069	8215	6358	5815	5660	6378	7112	3550	7767	5904	5939	4438
ALX4	5	6	5	2	7	4	1	3	9	3	3	2
FSTL4	18833	16473	13727	12913	8085	14182	12546	6069	11769	6263	10816	6431
FOXN3	830	831	714	553	658	1002	750	424	1055	580	801	515
METTL24	7	4	5	1	5	5	15	2	3	6	3	3
AKR7A2	770	781	344	405	502	358	555	359	660	536	517	454
MRTO4	494	458	269	278	259	195	292	216	442	325	317	293
NNAT	140	125	93	69	94	98	90	74	124	94	92	59
USE1	524	508	316	276	286	260	317	173	349	293	250	271
MCF2L2	546	496	346	318	324	319	415	201	386	320	316	197
NRIP2	158	177	98	127	102	82	131	72	147	84	81	62
LAMA3	19147	21434	16080	13467	13523	12239	21437	10394	22211	8075	13735	14721
AP5M1	909	919	599	643	870	788	959	579	1102	802	906	753
ANAPC4	886	910	650	642	638	593	716	445	913	695	759	683
KCNQ1	2153	2229	1065	1335	1151	1303	1226	899	1735	1632	1397	996
TRAPPC3	324	320	189	265	235	275	316	187	378	260	269	241
THRAP3	4998	4751	3048	3003	2896	2647	3474	2219	4275	3204	3259	2384
PHPT1	1215	1220	742	739	706	548	911	463	1014	736	678	562
ENTPD2	1323	1789	908	830	755	479	972	416	1154	807	539	546
LY75	106	104	61	68	66	69	86	32	78	109	76	55
ARID4B	1414	1409	999	971	973	917	1051	609	1371	992	965	868
OPN3	137	131	122	131	141	189	162	69	219	176	160	124
SDCCAG8	1370	1393	837	931	958	851	1084	608	1474	1007	1032	912
PTPRN	304	306	386	454	140	145	179	113	180	57	187	88
HHAT	467	422	251	260	342	247	383	218	399	349	309	276
KIF1B	4138	4107	2498	2399	3000	2430	3323	2270	4222	2879	3576	2713
FOXC1	167	201	241	110	206	310	182	146	325	187	279	133
TBC1D22A	1170	1168	845	712	693	727	873	455	966	782	773	577
SYNE2	17202	16625	9192	10567	12849	10633	12620	8015	18079	17959	12548	11003
PLEKHH1	3561	3629	2297	2292	2707	2476	2362	1747	3542	2665	2700	1845
ATP9A	8074	6859	4388	4080	5292	4092	6451	3480	5800	4152	4349	3168
SPO11	1	2	2	0	0	0	0	0	0	0	0	0
CBLN4	0	0	0	0	0	0	0	0	0	0	0	0
CHRDL2	3	2	1	0	1	11	0	2	9	2	3	1
FAM168A	739	757	520	480	417	442	581	356	608	477	445	259
RELT	197	204	144	124	132	104	145	132	237	134	166	129
GALC	1473	1772	934	1055	861	1069	1366	731	1411	1099	1069	798
NOP58	2379	2481	1460	1619	1709	1233	1802	1231	2521	1713	1841	1849
SZRD1	1184	1125	768	764	789	646	815	587	1070	768	848	673
KCNH2	5710	5814	3024	3685	3015	3258	3663	2170	3639	3579	3139	2130
CUL1	1800	1804	1029	1227	1382	1074	1439	1037	2085	1460	1550	1179
FAM114A2	540	581	394	344	404	369	482	247	535	487	362	343
CYFIP2	1599	1560	792	933	1200	983	1170	895	1516	1260	1392	847
TAB2	3750	3693	2677	2426	2506	2891	3010	1795	3644	2592	2906	2048
GINM1	1218	1346	884	864	935	1263	1182	789	1386	1231	1282	858
EIF2AK2	1859	1873	1437	1397	2757	1591	1780	2200	6218	2477	3837	4742
USP36	4364	4199	3479	2426	2662	2796	2911	1799	3933	2707	2623	2046
KMT2C	27589	28440	18716	17222	20341	19171	22273	12589	27299	21312	19537	15355
MCOLN3	65	51	20	17	43	22	40	34	56	61	30	38
CCDC85A	72	59	36	40	32	33	47	32	55	45	65	24
PUM2	6343	6623	4619	4141	4224	4567	5220	2990	6167	4954	4567	3670
MRPL43	1155	1121	750	714	691	607	854	482	1010	802	755	627
ITIH4	2	4	2	0	1	0	2	3	1	2	1	0
ITIH1	0	0	0	1	0	0	0	0	1	0	1	0
HPF1	355	345	215	229	257	223	290	157	332	269	274	257
ZFR	8154	8244	6179	5212	5407	5241	6672	3657	7772	4486	6115	4209
ZNF280C	770	797	534	505	524	403	518	323	666	538	486	465
NPFFR2	399	423	292	331	238	308	377	239	506	273	330	249
PHF21B	0	0	0	0	0	0	1	0	0	0	0	0
TRAF1	201	204	174	162	166	169	210	94	188	180	170	121
RC3H2	3063	3248	2250	2029	2421	2177	2614	1602	3468	2603	2578	2194
IL17RB	457	502	239	319	386	221	410	281	503	354	370	362
TRAF3IP2	1021	983	617	597	507	606	730	375	709	602	547	436
GYG2	1023	1004	449	635	534	380	671	476	703	664	605	455
DCBLD2	18533	19549	10648	15285	9427	7681	12065	9631	24808	7782	16101	12779
SERPINB3	3238	2367	1608	1360	5090	6843	4077	5049	11067	5118	11114	5969
SOAT1	938	915	553	672	677	525	818	521	900	861	670	517
PKP2	991	1002	621	596	488	563	684	372	851	636	617	454
MSH4	3	5	2	1	6	1	3	1	1	2	3	0
F7	155	225	96	119	125	59	155	74	140	93	94	59
GDI2	5040	5036	2778	3273	3165	2731	4088	2245	4816	3708	3524	3238
PRDM1	478	626	966	307	278	849	423	149	645	156	298	125
ATG5	485	510	401	362	377	363	479	289	617	404	455	359
TMCC3	103	143	109	56	79	86	153	46	168	45	123	86
PITHD1	169	152	131	93	91	105	109	67	160	118	121	96
MTA3	2097	2380	1222	1429	1388	1197	1603	843	1838	1523	1369	1160
USP13	625	711	301	407	398	176	520	318	516	420	399	348
ATP11B	2884	3182	2285	1956	2338	2591	2872	1431	3093	2547	2555	1922
LAMC2	20312	21423	16985	13674	17812	18226	34584	14145	23351	10374	15591	14561
CDK14	319	272	125	185	185	138	225	124	247	164	185	164
SEC61A1	4440	4532	3103	2985	2980	3134	3871	2516	4577	3251	3768	2764
PPP1R12A	1989	1655	1114	1142	1289	1135	1445	804	1777	1211	1318	1144
RASGRF1	15	13	9	14	11	12	7	9	17	4	18	8
CAMK2B	21	15	14	10	42	13	25	11	18	21	22	20
CROCC	885	798	575	561	635	550	595	407	725	576	580	467
POLR3E	1675	1583	1076	1007	1092	947	1124	747	1427	1094	1082	833
ATP2B4	1256	1124	762	700	594	805	808	422	843	766	686	462
ZC3H11A	15	19	14	10	14	22	10	12	26	11	19	13
RIOK2	346	409	256	244	217	223	284	176	400	284	297	253
YIPF1	109	84	60	59	74	78	61	63	94	66	93	49
NDC1	384	429	210	299	327	203	328	253	464	332	338	306
DGKG	206	217	135	103	117	119	152	99	149	121	137	89
FLYWCH1	602	556	289	297	355	275	351	233	549	397	347	318
UNKL	669	639	404	381	370	353	428	185	444	356	279	227
TBXAS1	188	169	103	99	70	23	71	46	142	83	62	68
PARP12	931	913	774	688	1136	931	998	997	2352	950	1559	1694
ALDH18A1	4029	4052	2527	2608	2527	2399	3207	1812	3775	3023	2754	2190
TARBP1	3371	3173	1919	2162	2370	2145	2540	1732	3161	2406	2686	2113
GATB	930	893	568	593	670	536	768	401	900	735	668	542
MXD1	427	502	684	340	423	755	373	219	664	283	424	283
CDK17	528	514	397	321	319	332	405	260	539	325	404	334
DNAJC25	135	113	96	87	94	108	122	57	175	113	111	104
SLC2A3	2437	2140	3359	1088	791	3502	1884	804	2524	880	1843	1005
PSD	62	57	44	34	124	54	52	37	47	62	58	36
CTDP1	893	923	595	544	608	538	675	440	945	559	723	607
